2012,10,1,1509
2012,10,2,1495
2012,10,3,1479
2012,10,4,1413
2012,10,5,1390
2012,10,6,1443
2012,10,7,1477
2012,10,8,1522
2012,10,9,1504
2012,10,10,1501
2012,10,11,1492
2012,10,12,1490
2012,10,13,1490
2012,10,14,1500
2012,10,15,1482
2012,10,16,1519
2012,10,17,1535
2012,10,18,1528
2012,10,19,1531
2012,10,20,1554
2012,10,21,1549
2012,10,22,1557
2012,10,23,1579
2012,10,24,1581
2012,10,25,1600
2012,10,26,1589
2012,10,27,1560
2012,10,28,1505
2012,10,29,1499
2012,10,30,1464
2012,10,31,1426
2012,11,1,1438
2012,11,2,1425
2012,11,3,1421
2012,11,4,1398
2012,11,5,1392
2012,11,6,1405
2012,11,7,1414
2012,11,8,1428
2012,11,9,1417
2012,11,10,1396
2012,11,11,1362
2012,11,12,1312
2012,11,13,1326
2012,11,14,1382
2012,11,15,1365
2012,11,16,1375
2012,11,17,1424
2012,11,18,1440
2012,11,19,1450
2012,11,20,1490
2012,11,21,1471
2012,11,22,1446
2012,11,23,1463
2012,11,24,1486
2012,11,25,1496
2012,11,26,1463
2012,11,27,1418
2012,11,28,1394
2012,11,29,1402
2012,11,30,1406
2012,12,1,1429
2012,12,2,1434
2012,12,3,1423
2012,12,4,1427
2012,12,5,1398
2012,12,6,1417
2012,12,7,1449
2012,12,8,1447
2012,12,9,1437
2012,12,10,1346
2012,12,11,1319
2012,12,12,1281
2012,12,13,1268
2012,12,14,1284
2012,12,15,1317
2012,12,16,1363
2012,12,17,1344
2012,12,18,1317
2012,12,19,1311
2012,12,20,1296
2012,12,21,1266
2012,12,22,1252
2012,12,23,1247
2012,12,24,1198
2012,12,25,1230
2012,12,26,1285
2012,12,27,1283
2012,12,28,1291
2012,12,29,1298
2012,12,30,1267
2012,12,31,1239
2013,1,1,1208
2013,1,2,1194
2013,1,3,1220
2013,1,4,1247
2013,1,5,1243
2013,1,6,1212
2013,1,7,1200
2013,1,8,1202
2013,1,9,1170
2013,1,10,1144
2013,1,11,1123
2013,1,12,1123
2013,1,13,1160
2013,1,14,1194
2013,1,15,1194
2013,1,16,1219
2013,1,17,1217
2013,1,18,1206
2013,1,19,1209
2013,1,20,1198
2013,1,21,1192
2013,1,22,1191
2013,1,23,1194
2013,1,24,1190
2013,1,25,1215
2013,1,26,1229
2013,1,27,1244
2013,1,28,1263
2013,1,29,1269
2013,1,30,1292
